control_year,control_type,facade,segment,control_month,number_controls,number_controls_ytd,target_number_of_controls_year,infraction_rate,infraction_rate_ytd
2013,AIR_CONTROL,MED,Hors segment,1,1,1,,1.0,1.0
2013,AIR_CONTROL,MED,Hors segment,5,2,3,,1.0,1.0
2013,AIR_CONTROL,MED,Hors segment,9,4,7,,1.0,1.0
2013,AIR_CONTROL,MED,Hors segment,10,6,13,,1.0,1.0
2013,AIR_CONTROL,SA,Hors segment,1,1,1,,1.0,1.0
2013,AIR_CONTROL,SA,Hors segment,2,1,2,,1.0,1.0
2013,AIR_CONTROL,SA,Hors segment,5,1,3,,1.0,1.0
2013,AIR_CONTROL,SA,Hors segment,9,1,4,,1.0,1.0
2013,AIR_CONTROL,SA,Hors segment,10,1,5,,1.0,1.0
2013,AIR_CONTROL,SA,Hors segment,11,6,11,,1.0,1.0
2013,AIR_CONTROL,SA,Hors segment,12,2,13,,1.0,1.0
2013,AIR_CONTROL,MEMN,Hors segment,2,1,1,,1.0,1.0
2013,AIR_CONTROL,MEMN,Hors segment,9,2,3,,1.0,1.0
2013,AIR_CONTROL,MEMN,Hors segment,11,1,4,,1.0,1.0
2013,AIR_CONTROL,MEMN,Hors segment,12,3,7,,0.333333333333333,0.714285714285714
2013,AIR_CONTROL,NAMO,Hors segment,1,5,5,,1.0,1.0
2013,AIR_CONTROL,NAMO,Hors segment,2,2,7,,1.0,1.0
2013,AIR_CONTROL,NAMO,Hors segment,3,5,12,,1.0,1.0
2013,AIR_CONTROL,NAMO,Hors segment,4,7,19,,0.857142857142857,0.947368421052632
2013,AIR_CONTROL,NAMO,Hors segment,7,2,21,,1.0,0.952380952380952
2013,AIR_CONTROL,NAMO,Hors segment,10,2,23,,1.0,0.956521739130435
2013,AIR_CONTROL,NAMO,Hors segment,11,5,28,,1.0,0.964285714285714
2013,AIR_CONTROL,NAMO,Hors segment,12,3,31,,1.0,0.967741935483871
2013,LAND_CONTROL,MED,Hors segment,1,1,1,,0.0,0.0
2013,LAND_CONTROL,MED,Hors segment,2,2,3,,0.5,0.333333333333333
